sample_index,characteristic_physical_gate_error_rate,surface_code_cycle_time,heuristic_surface_code_physical_threshold_order_of_magnitude,naive_serial_time_days,code_distance_d,approximate_data_plane_physical_qubits,logical_qubits_at_n,logical_failure_proxy_union_depth_phenomenological,magic_limited_runtime_multiplier,ecdlp_toffoli_gates_upper_bound
99,0.0008861879435164326,1.7681843180472037,0.010801097079222098,0.001432556739158614,21.0,1403600.0,1450.0,1.4994137183081696e-05,,70000000.0
100,0.001807499812952488,1.690026001321409,0.016089329982080024,0.0013692340288483638,17.0,939600.0,1450.0,4.8442485106631976e-05,,70000000.0
101,0.0005324735274768423,1.5252025525548758,0.015821616334652108,0.0012356965124865893,17.0,939600.0,1450.0,5.633916476025397e-05,,70000000.0
102,0.0007245889515467241,0.5061017452605348,0.012541257245672885,0.0004100361362064518,19.0,1160000.0,1450.0,3.6362797103011284e-05,,70000000.0
103,0.001875911194314513,1.5148588786787762,0.0173242455339707,0.0012273162211517863,17.0,939600.0,1450.0,2.4898837550926533e-05,,70000000.0
104,0.0012497763854510643,1.3355313129275057,0.01448859471892468,0.0010820276840847849,19.0,1160000.0,1450.0,8.586287005037826e-06,,70000000.0
105,0.001242410894110863,0.5574324528986234,0.00916569451957679,0.0004516235150799032,23.0,1670400.0,1450.0,9.955968183369826e-06,,70000000.0
106,0.001485599356780995,1.9564068690604588,0.010727133451936375,0.0015850518615073163,21.0,1403600.0,1450.0,1.61713964959455e-05,,70000000.0
107,0.0014356733236554169,1.6971905655660875,0.019756999290204573,0.0013750386526577096,17.0,939600.0,1450.0,7.630960159198581e-06,,70000000.0
108,0.001986526686787627,0.96161914729314,0.005369575457063334,0.0007790895869273125,29.0,2610000.0,1450.0,3.9352180158712444e-05,,70000000.0
109,0.001508285870713043,1.6602368752184165,0.018809106956252195,0.001345099320200106,17.0,939600.0,1450.0,1.187830466055161e-05,,70000000.0
110,0.0018422986011186627,0.8945665375031148,0.010567947309674574,0.0007247645558474309,21.0,1403600.0,1450.0,1.9062111795754445e-05,,70000000.0
111,0.0014011878362285392,0.66163129255252,0.0066914188556790296,0.0005360438712809768,25.0,1960400.0,1450.0,6.491293394831368e-05,,70000000.0
112,0.0007556990690096115,1.887441928545464,0.01916846974088631,0.0015291774884048897,17.0,939600.0,1450.0,1.0018000562565526e-05,,70000000.0
113,0.000863460859206341,1.9708809961181717,0.013462410738032667,0.0015967785848179632,19.0,1160000.0,1450.0,1.7899449603616736e-05,,70000000.0
114,0.0017712378162853038,1.2253745249449384,0.006088165401130214,0.0009927802864137232,27.0,2273600.0,1450.0,3.6413116180392e-05,,70000000.0
115,0.0015370506867253496,0.5887604295918252,0.005298518347445254,0.0004770049776785621,29.0,2610000.0,1450.0,4.80564191002422e-05,,70000000.0
116,0.0016193279817955635,1.8016344880766035,0.008178768950993535,0.0014596575713583593,23.0,1670400.0,1450.0,3.9067243464556665e-05,,70000000.0
117,0.0014969140111244865,1.3063118066869468,0.015940949469135986,0.0010583544730102578,17.0,939600.0,1450.0,5.2655092282390554e-05,,70000000.0
118,0.0014589802020082143,1.0195718555211655,0.013084250463650231,0.0008260420125750183,19.0,1160000.0,1450.0,2.380014235742887e-05,,70000000.0
119,0.0006606120681766351,1.129506862952619,0.011488080325685723,0.0009151097269292052,21.0,1403600.0,1450.0,7.60932170475684e-06,,70000000.0
120,0.0011136541210488918,0.5471212923746213,0.015372391688732882,0.00044326956558129034,19.0,1160000.0,1450.0,4.74956271603369e-06,,70000000.0
121,0.001081902032918106,0.59749176749922,0.009911723025999178,0.0004840789782979791,21.0,1403600.0,1450.0,3.858578241628052e-05,,70000000.0
122,0.0005686144656378709,1.029039354332779,0.011175884295626977,0.0008337124398529459,21.0,1403600.0,1450.0,1.0303082535666272e-05,,70000000.0
123,0.0011191393806280312,1.32157572547219,0.008334150846264987,0.0010707210738779317,23.0,1670400.0,1450.0,3.1169638285523197e-05,,70000000.0
124,0.0017324133301267178,1.6114148928028031,0.007677312382071543,0.0013055444733356045,25.0,1960400.0,1450.0,1.0872972478378661e-05,,70000000.0
125,0.0013967884823148867,1.5517517183454343,0.012408165835632444,0.001257206253289125,19.0,1160000.0,1450.0,4.0456858105577074e-05,,70000000.0
126,0.00116782735474323,1.8105852886367388,0.014277892091076874,0.0014669093773677284,19.0,1160000.0,1450.0,9.94093172280829e-06,,70000000.0
127,0.0010160855667692365,0.6453955906436823,0.00632477666221134,0.0005228899461233537,27.0,2273600.0,1450.0,2.135184073542608e-05,,70000000.0
128,0.0009036556066378217,1.5348561360399484,0.010362149648721232,0.0012435177028101434,21.0,1403600.0,1450.0,2.366571249602545e-05,,70000000.0
129,0.0011752776470850919,1.3887671836259974,0.011344263532198216,0.0011251585978451367,21.0,1403600.0,1450.0,8.740346891321257e-06,,70000000.0
130,0.0012115227523502164,1.7215564278054072,0.012683022965732801,0.0013947795132682698,19.0,1160000.0,1450.0,3.2496774429748934e-05,,70000000.0
131,0.0008114446331510568,0.8484269605585568,0.008729183287067798,0.0006873829541562382,23.0,1670400.0,1450.0,1.788070731882823e-05,,70000000.0
132,0.0012005748396480976,1.682410859948208,0.016261577091407867,0.0013630643541247055,17.0,939600.0,1450.0,4.401534225939064e-05,,70000000.0
133,0.0013735211795073857,0.7697690272293065,0.009300392092553856,0.0006236554618755956,23.0,1670400.0,1450.0,8.357048941099435e-06,,70000000.0
134,0.001997695284489402,1.3598737748943446,0.009413882396926303,0.0011017495861412514,21.0,1403600.0,1450.0,6.801607868458995e-05,,70000000.0
135,0.001683892560024244,1.6389450663812621,0.017403500704814195,0.0013278490121144486,17.0,939600.0,1450.0,2.389673171300547e-05,,70000000.0
136,0.0006898749586545004,0.8728903806891722,0.011731955135700077,0.0007072028547250238,21.0,1403600.0,1450.0,6.039398901036676e-06,,70000000.0
137,0.001856542872630489,1.8727692432487828,0.013780131556038615,0.0015172898961506342,19.0,1160000.0,1450.0,1.4175370122407133e-05,,70000000.0
138,0.0016072337076264097,0.7094069682408521,0.008899806944221716,0.0005747510159358755,23.0,1670400.0,1450.0,1.4174280165028182e-05,,70000000.0
139,0.0010606007477505343,1.8532547860394233,0.00920738323447874,0.001501479572022681,23.0,1670400.0,1450.0,9.428300258909884e-06,,70000000.0
140,0.000939753108715856,1.2790443442445532,0.014033275891374626,0.001036262778901837,19.0,1160000.0,1450.0,1.1816188485472955e-05,,70000000.0
141,0.0016452050087209492,1.7817756804653786,0.01797844932265079,0.001443568259636302,17.0,939600.0,1450.0,1.783602088349264e-05,,70000000.0
142,0.0006334710759887167,0.689700258319739,0.012303113081733149,0.0005587849315090478,19.0,1160000.0,1450.0,4.404715744537718e-05,,70000000.0
143,0.0008685917734677455,0.6014837473861157,0.007067444604643695,0.0004873132212618993,25.0,1960400.0,1450.0,3.1890158197887056e-05,,70000000.0
144,0.001195943896054107,1.3937748773680108,0.0080059226262995,0.0011292157571268606,23.0,1670400.0,1450.0,5.0481398995722705e-05,,70000000.0
145,0.0010690312969898364,1.2921478277640308,0.010118062234389224,0.0010468790271236361,21.0,1403600.0,1450.0,3.076077226966031e-05,,70000000.0
146,0.0015643462176201767,1.311073382900964,0.017034586243501623,0.0010622122315169847,17.0,939600.0,1450.0,2.8979023033261914e-05,,70000000.0
147,0.0006519048300456015,1.1769149503111935,0.016325704807359114,0.0009535190569650874,17.0,939600.0,1450.0,4.248352929710884e-05,,70000000.0
148,0.0012260347480773136,1.3317590706769917,0.019225820816427427,0.0010789714692984887,17.0,939600.0,1450.0,9.752232144803715e-06,,70000000.0
149,0.0007336848171655384,1.8158129733770287,0.01642591742183323,0.0014711447700971297,17.0,939600.0,1450.0,4.020696833346469e-05,,70000000.0
150,0.0015319067877884482,0.6847920402677,0.005481823170384568,0.0005548083659576273,29.0,2610000.0,1450.0,2.885311530892081e-05,,70000000.0
151,0.0013793757366830578,0.8663397794385694,0.012889941274933168,0.0007018956546377298,19.0,1160000.0,1450.0,2.764131223300795e-05,,70000000.0
152,0.0005853851993672551,1.283624060457944,0.008392790427644568,0.0010399731971302787,23.0,1670400.0,1450.0,2.8654411940419907e-05,,70000000.0
153,0.0010067894201926304,1.6668110894763397,0.018949451903272015,0.0013504256511961085,17.0,939600.0,1450.0,1.110959349889954e-05,,70000000.0
154,0.0011622142306541244,0.9723345836343263,0.00954936723619465,0.0007877710747037366,21.0,1403600.0,1450.0,5.8122929806593715e-05,,70000000.0
155,0.0011845586028513366,1.4117444676271678,0.007976434961955051,0.0011437744529386776,23.0,1670400.0,1450.0,5.2766963531849084e-05,,70000000.0
156,0.00068558501630874,1.60286783188082,0.012845480486980735,0.0012986197711997384,19.0,1160000.0,1450.0,2.861307326126418e-05,,70000000.0
157,0.001231225454648929,1.601781164681703,0.01867146456135944,0.0012977393695337873,17.0,939600.0,1450.0,1.2690028053534195e-05,,70000000.0
158,0.001870991450896307,0.7520529874862321,0.01177642407168765,0.0006093021889356047,19.0,1160000.0,1450.0,6.822345057493023e-05,,70000000.0
159,0.0019297746340850442,1.9896566837234773,0.007000832334396752,0.0016119903687574469,25.0,1960400.0,1450.0,3.6068015476049113e-05,,70000000.0
160,0.0011504069628250305,1.9974438615523755,0.009787875283772188,0.0016182994248688228,21.0,1403600.0,1450.0,4.430934678444528e-05,,70000000.0
161,0.0018622118607776517,1.4367755277805472,0.009023475545666789,0.0011640542470444247,23.0,1670400.0,1450.0,1.2011075474082995e-05,,70000000.0
162,0.0007948169966296448,1.035806173926221,0.011868468035402629,0.0008391948168383736,19.0,1160000.0,1450.0,6.311337425201937e-05,,70000000.0
163,0.0017654926982595444,0.9506760003180966,0.017472133283872187,0.0007702236113688283,17.0,939600.0,1450.0,2.3065062639384538e-05,,70000000.0
164,0.0011581061064870376,1.4838173005283322,0.011984911984831008,0.0012021667944095283,19.0,1160000.0,1450.0,5.72426267416615e-05,,70000000.0
165,0.0018915455581923833,1.7972861718590851,0.010889813928027708,0.0014561346299784255,21.0,1403600.0,1450.0,1.3703862550959366e-05,,70000000.0
166,0.0008068511523086128,1.1362285446467555,0.005769272756342245,0.0009205555338573251,29.0,2610000.0,1450.0,1.340454163085655e-05,,70000000.0
167,0.0005136851735940681,0.5636138587240531,0.007460486637034533,0.00045663159850328376,25.0,1960400.0,1450.0,1.5779564239060476e-05,,70000000.0
168,0.0010380991951303778,0.6300403644035141,0.01325863772805873,0.0005104493693084026,19.0,1160000.0,1450.0,2.084870099755496e-05,,70000000.0
169,0.0016322216996965165,1.963555677612544,0.007847487515709706,0.0015908437202879406,23.0,1670400.0,1450.0,6.416533155938834e-05,,70000000.0
170,0.0013614510544767411,0.6179316253405664,0.01879849566820864,0.0005006390483083293,17.0,939600.0,1450.0,1.1938786188608908e-05,,70000000.0
171,0.0009272545231047502,1.7135344073301544,0.016202433128705417,0.0013882801911239675,17.0,939600.0,1450.0,4.548266514821719e-05,,70000000.0
172,0.0013084301147644171,0.6351043899132568,0.012090242923120179,0.000514552167753796,19.0,1160000.0,1450.0,5.244665255727107e-05,,70000000.0
173,0.001935910895208004,0.5125462128640531,0.005725425559801327,0.00041525734838522826,29.0,2610000.0,1450.0,1.5029739632263796e-05,,70000000.0
174,0.0017493842006873913,0.9261681297592007,0.015495521891883465,0.0007503676977215746,17.0,939600.0,1450.0,6.795355360563549e-05,,70000000.0
175,0.0008758125957664942,1.836753664266587,0.007851876848723486,0.001488110607623392,23.0,1670400.0,1450.0,6.37362183362243e-05,,70000000.0
176,0.0015791317613391114,0.9392105553668741,0.01826864419315573,0.0007609344777277916,17.0,939600.0,1450.0,1.5442271641930814e-05,,70000000.0
177,0.001979160254000555,1.5579741278087014,0.006486789151354284,0.0012622475572524202,27.0,2273600.0,1450.0,1.4984805158110683e-05,,70000000.0
178,0.001661820407288209,1.6272664263089693,0.007130622189184656,0.0013183871509447667,25.0,1960400.0,1450.0,2.8406092877406377e-05,,70000000.0
179,0.0014685483275938042,0.5445969614966145,0.0051728273438267,0.0004412243901014238,29.0,2610000.0,1450.0,6.888874924560861e-05,,70000000.0
180,0.0009461946846423366,1.1457289399896637,0.015791544448139638,0.0009282526134175515,17.0,939600.0,1450.0,5.731213417276169e-05,,70000000.0
181,0.0009135174803652975,0.6234023281766666,0.013225286466413763,0.0005050713306986882,19.0,1160000.0,1450.0,2.138046596004245e-05,,70000000.0
182,0.0006780735509114239,0.9345948056433457,0.018531434506506104,0.0007571948656832663,17.0,939600.0,1450.0,1.3579591090647267e-05,,70000000.0
183,0.0005580670176107399,0.9736589217680737,0.015606116339557758,0.0007888440338398745,17.0,939600.0,1450.0,6.374035575070386e-05,,70000000.0
184,0.0005607426622603291,0.728670102783422,0.013505608691427329,0.0005903577221624947,19.0,1160000.0,1450.0,1.733510275162765e-05,,70000000.0
185,0.001317136411440358,1.3627453721514127,0.008102789746905082,0.0011040761116967463,23.0,1670400.0,1450.0,4.369715938969429e-05,,70000000.0
186,0.0016358253731454553,1.4971291637738857,0.010089158764497947,0.001212951868798287,21.0,1403600.0,1450.0,3.1744137091209844e-05,,70000000.0
187,0.000665745159684546,1.3451426019911095,0.01726583493961116,0.001089814608094649,17.0,939600.0,1450.0,2.5667276051628395e-05,,70000000.0
188,0.0015498338189708903,1.2151900538090923,0.007504860473205828,0.0009845289787805147,25.0,1960400.0,1450.0,1.4608780117641574e-05,,70000000.0
189,0.001798923564216208,1.7459161978931543,0.011438602489134777,0.0014145154381078797,21.0,1403600.0,1450.0,7.979311116535249e-06,,70000000.0
190,0.0006984103802642788,1.787470765535465,0.005048127835042492,0.0014481823331884552,31.0,2969600.0,1450.0,1.9678071685175503e-05,,70000000.0
191,0.0019144785946963966,1.2651601809105228,0.005884009594284097,0.0010250140354599144,27.0,2273600.0,1450.0,5.870036929785906e-05,,70000000.0
192,0.0007643267667287302,1.0934444291398104,0.010292343348193097,0.0008858924773123463,21.0,1403600.0,1450.0,2.549242334708771e-05,,70000000.0
193,0.0009280145761461827,1.8707386803191643,0.013115536802776,0.001515644764147471,19.0,1160000.0,1450.0,2.3238459777880736e-05,,70000000.0
194,0.0009666196351393901,0.8890227157007716,0.017174641966507417,0.000720273033553866,17.0,939600.0,1450.0,2.6920232978296353e-05,,70000000.0
195,0.0010261066563495608,1.826753982767238,0.0067252126663610015,0.0014800090138160494,25.0,1960400.0,1450.0,6.0798064666478406e-05,,70000000.0
196,0.0019239380459478515,1.8960851598524038,0.005984749409858258,0.0015361801063619013,27.0,2273600.0,1450.0,4.6283314877492614e-05,,70000000.0
197,0.000546879906475461,1.9488087284067606,0.009849579323194798,0.0015788959605147366,21.0,1403600.0,1450.0,4.13498121605503e-05,,70000000.0
198,0.0007101933511233965,1.5351114524542302,0.014434248849817605,0.0012437245563865292,19.0,1160000.0,1450.0,8.915098803610596e-06,,70000000.0
199,0.0017242844870456785,0.9074282859647151,0.014688068465105463,0.000735184953906598,19.0,1160000.0,1450.0,7.4889539842123755e-06,,70000000.0
